weight_path,method_name,sparsity,descriptor_dim,flops,model_memory,extraction_lat_cpu_bs1,extraction_lat_gpu_bs1,Pitts30k_Val_R1,Pitts30k_Val_R5,Pitts30k_Val_R10,Pitts30k_Val_map_memory,Pitts30k_Val_total_memory,Pitts30k_Val_matching_lat,Pitts30k_Val_total_cpu_lat_bs1,Pitts30k_Val_total_gpu_lat_bs1,MapillarySLS_R1,MapillarySLS_R5,MapillarySLS_R10,MapillarySLS_map_memory,MapillarySLS_total_memory
ResNet34_MixVPR_agg_0.00_sparsity_0.058_R1_0.929.ckpt,ResNet34_MixVPR,0.058,4096.0,6221323696.0,17.112686157226562,,,0.89458466,0.9650368,0.9773922,156.25,173.36268615722656,,,,0.8027027249336243,0.883783757686615,0.9094594717025756,294.859375,311.97206115722656
ResNet34_MixVPR_agg_0.00_sparsity_0.108_R1_0.928.ckpt,ResNet34_MixVPR,0.108,4096.0,5946427696.0,16.21588134765625,,,0.8924816250801086,0.9650368094444276,0.9769979119300842,156.25,172.46588134765625,,,,0.8081080913543701,0.883783757686615,0.9013513326644896,294.859375,311.07525634765625
ResNet34_MixVPR_agg_0.00_sparsity_0.160_R1_0.926.ckpt,ResNet34_MixVPR,0.16,4096.0,5659956096.0,15.25853157043457,,,0.8869611024856567,0.9629337787628174,0.9747633934020996,156.25,171.50853157043457,,,,0.8013513684272766,0.8797297477722168,0.8945946097373962,294.859375,310.11790657043457
ResNet34_MixVPR_agg_0.00_sparsity_0.206_R1_0.923.ckpt,ResNet34_MixVPR,0.206,4096.0,5402810496.0,14.423295974731444,,,0.8861724734306335,0.9642481803894044,0.9760777950286864,156.25,170.67329597473145,,,,0.800000011920929,0.8743243217468262,0.8959459662437439,294.859375,309.28267097473145
ResNet34_MixVPR_agg_0.00_sparsity_0.257_R1_0.922.ckpt,ResNet34_MixVPR,0.257,4096.0,5112066896.0,13.503175735473633,,,0.8793375492095947,0.9604364037513732,0.9755520224571228,156.25,169.75317573547363,,,,0.8067567348480225,0.8702702522277832,0.8945946097373962,294.859375,308.36255073547363
ResNet34_MixVPR_agg_0.00_sparsity_0.300_R1_0.923.ckpt,ResNet34_MixVPR,0.3,4096.0,4873510096.0,12.730623245239258,,,0.8845951557159424,0.959253430366516,0.975026309490204,156.25,168.98062324523926,,,,0.800000011920929,0.8716216087341309,0.8945946097373962,294.859375,307.58999824523926
ResNet34_MixVPR_agg_0.00_sparsity_0.345_R1_0.923.ckpt,ResNet34_MixVPR,0.345,4096.0,4626138496.0,11.910690307617188,,,0.8794689774513245,0.959253430366516,0.975026309490204,156.25,168.1606903076172,,,,0.7878378629684448,0.862162172794342,0.8851351141929626,294.859375,306.7700653076172
ResNet34_MixVPR_agg_0.00_sparsity_0.384_R1_0.915.ckpt,ResNet34_MixVPR,0.384,4096.0,4405332096.0,11.19970703125,,,0.8769716024398804,0.9572818279266356,0.9738433361053468,156.25,167.44970703125,,,,0.7878378629684448,0.8594594597816467,0.8810811042785645,294.859375,306.05908203125
ResNet34_MixVPR_agg_0.00_sparsity_0.427_R1_0.917.ckpt,ResNet34_MixVPR,0.427,4096.0,4157251696.0,10.421737670898438,,,0.8727654814720154,0.9562302827835084,0.9727917909622192,156.25,166.67173767089844,,,,0.7689189314842224,0.8594594597816467,0.8797297477722168,294.859375,305.28111267089844
ResNet34_MixVPR_agg_0.00_sparsity_0.462_R1_0.914.ckpt,ResNet34_MixVPR,0.462,4096.0,3955034096.0,9.7734375,,,0.8681650757789612,0.9492639303207396,0.965299665927887,156.25,166.0234375,,,,0.7797297239303589,0.8486486673355103,0.8756756782531738,294.859375,304.6328125
