weight_path,method_name,sparsity,descriptor_dim,flops,model_memory,extraction_lat_cpu_bs1,extraction_lat_gpu_bs1,Pitts30k_Val_R1,Pitts30k_Val_R5,Pitts30k_Val_R10,Pitts30k_Val_map_memory,Pitts30k_Val_total_memory,Pitts30k_Val_matching_lat,Pitts30k_Val_total_cpu_lat_bs1,Pitts30k_Val_total_gpu_lat_bs1,AmsterTime_R1,AmsterTime_R5,AmsterTime_R10,AmsterTime_map_memory,AmsterTime_total_memory,AmsterTime_matching_lat,AmsterTime_total_cpu_lat_bs1,AmsterTime_total_gpu_lat_bs1
ResNet34_NetVLAD_agg_0.00_sparsity_0.038_R1_0.931.ckpt,ResNet34_NetVLAD,0.038,,6213452800.0,31.354736328125,279.45979833602905,36.165058612823486,,,,,,35.88118553161621,316.1615252494812,72.62849807739258,,,,,,4.406428337097168,283.8662266731262,40.571486949920654
ResNet34_NetVLAD_agg_0.00_sparsity_0.068_R1_0.931.ckpt,ResNet34_NetVLAD,0.068,,6213452800.0,31.354736328125,274.42259788513184,37.349724769592285,,,,,,35.46411991119385,359.3059182167053,72.66767024993896,,,,,,4.150032997131348,278.5726308822632,41.49975776672363
ResNet34_NetVLAD_agg_0.00_sparsity_0.102_R1_0.932.ckpt,ResNet34_NetVLAD,0.102,,6213452800.0,31.354736328125,265.238094329834,37.422871589660645,,,,,,34.97955799102783,360.7368707656861,71.7111349105835,,,,,,4.279279708862305,269.5173740386963,41.70215129852295
ResNet34_NetVLAD_agg_0.00_sparsity_0.131_R1_0.932.ckpt,ResNet34_NetVLAD,0.131,,6213452800.0,31.354736328125,261.2871527671814,36.06523275375366,,,,,,34.32717323303223,336.24267578125,69.99014616012573,,,,,,4.209351539611816,265.4965043067932,40.27458429336548
ResNet34_NetVLAD_agg_0.00_sparsity_0.166_R1_0.928.ckpt,ResNet34_NetVLAD,0.166,,6213452800.0,31.354736328125,253.3598184585572,31.743311882019043,,,,,,33.59227180480957,343.7525153160095,66.1861777305603,,,,,,4.152250289916992,257.5120687484741,35.895562171936035
ResNet34_NetVLAD_agg_0.00_sparsity_0.194_R1_0.929.ckpt,ResNet34_NetVLAD,0.194,,6213452800.0,31.354736328125,248.4511494636536,30.39557933807373,,,,,,33.10236930847168,351.61492824554443,64.62513208389282,,,,,,3.98702621459961,252.4381756782532,34.38260555267334
ResNet34_NetVLAD_agg_0.00_sparsity_0.220_R1_0.932.ckpt,ResNet34_NetVLAD,0.22,,6213452800.0,31.354736328125,243.99726390838623,30.380332469940186,,,,,,32.647085189819336,346.6099262237549,63.73088359832764,,,,,,3.88031005859375,247.87757396698,34.260642528533936
ResNet34_NetVLAD_agg_0.00_sparsity_0.252_R1_0.926.ckpt,ResNet34_NetVLAD,0.252,,6213452800.0,31.354736328125,237.07079887390137,28.05109024047852,,,,,,31.815505027771,334.95569229125977,59.83213186264038,,,,,,3.8176774978637695,240.8884763717651,31.868767738342285
ResNet34_NetVLAD_agg_0.00_sparsity_0.278_R1_0.925.ckpt,ResNet34_NetVLAD,0.278,,6213452800.0,31.354736328125,230.19921779632568,27.9779314994812,,,,,,32.03697204589844,326.4855742454529,60.20649671554565,,,,,,3.6468505859375,233.8460683822632,31.6247820854187
ResNet34_NetVLAD_agg_0.00_sparsity_0.310_R1_0.927.ckpt,ResNet34_NetVLAD,0.31,,6213452800.0,31.354736328125,224.60092306137085,29.4367790222168,,,,,,30.750083923339844,324.41989183425903,61.05918884277344,,,,,,3.80239486694336,228.4033179283142,33.23917388916016
ResNet34_NetVLAD_agg_0.00_sparsity_0.335_R1_0.923.ckpt,ResNet34_NetVLAD,0.335,,6213452800.0,31.354736328125,219.42214965820312,28.88808250427246,,,,,,30.34241199493408,313.584840297699,58.99888277053833,,,,,,3.637242317199707,223.05939197540283,32.52532482147217
ResNet34_NetVLAD_agg_0.00_sparsity_0.359_R1_0.927.ckpt,ResNet34_NetVLAD,0.359,,6213452800.0,31.354736328125,214.58303928375244,28.15563678741455,,,,,,29.55749034881592,329.1983127593994,58.2669734954834,,,,,,3.451228141784668,218.0342674255371,31.60686492919922
ResNet34_NetVLAD_agg_0.00_sparsity_0.387_R1_0.927.ckpt,ResNet34_NetVLAD,0.387,,6213452800.0,31.354736328125,208.68146419525144,30.83336353302002,,,,,,29.10215854644775,325.8482336997986,60.28409004211426,,,,,,3.5326004028320312,212.2140645980835,34.36596393585205
ResNet34_NetVLAD_agg_0.00_sparsity_0.411_R1_0.924.ckpt,ResNet34_NetVLAD,0.411,,6213452800.0,31.354736328125,204.81899976730347,29.127275943756104,,,,,,28.467607498168945,306.7220687866211,58.43594074249267,,,,,,3.2965660095214844,208.11556577682492,32.42384195327759
ResNet34_NetVLAD_agg_0.00_sparsity_0.422_R1_0.922.ckpt,ResNet34_NetVLAD,0.422,,6213452800.0,31.354736328125,200.8388876914978,23.705267906188965,,,,,,27.984189987182617,301.638388633728,51.8112063407898,,,,,,3.2193899154663086,204.0582776069641,26.924657821655277
ResNet34_NetVLAD_agg_0.25_sparsity_0.038_R1_0.930.ckpt,ResNet34_NetVLAD,0.038,,6213452800.0,31.354736328125,279.32066917419434,37.458693981170654,,,,,,35.17708778381348,375.3610491752625,71.73205614089966,,,,,,4.093170166015625,283.41383934021,41.55186414718628
ResNet34_NetVLAD_agg_0.25_sparsity_0.068_R1_0.930.ckpt,ResNet34_NetVLAD,0.068,,6213452800.0,31.354736328125,273.13302755355835,36.04832887649536,,,,,,33.947110176086426,365.8850312232971,71.33476734161377,,,,,,4.343080520629883,277.47610807418823,40.39140939712525
ResNet34_NetVLAD_agg_0.25_sparsity_0.103_R1_0.931.ckpt,ResNet34_NetVLAD,0.103,,6213452800.0,31.354736328125,266.7267441749573,36.81796789169312,,,,,,33.023667335510254,373.3905553817749,70.04039287567139,,,,,,3.9940357208251953,270.72077989578247,40.81200361251831
